epoch,epoch_time_s,avg_batch_time_s,train_fps
1,39.2,6.53,4.6
2,24.3,4.05,7.4
3,24.0,4.0,7.5
4,21.3,3.55,8.5
5,18.5,3.08,9.7
6,19.9,3.32,9.0
7,20.2,3.37,8.9
8,20.4,3.4,8.8
9,18.6,3.1,9.7
10,20.5,3.42,8.8
11,20.0,3.33,9.0
12,21.4,3.57,8.4
13,18.1,3.02,9.9
14,21.8,3.63,8.3
15,18.7,3.12,9.6
16,21.3,3.55,8.5
17,20.0,3.33,9.0
18,21.3,3.55,8.5
19,18.7,3.12,9.6
20,19.3,3.22,9.3
21,18.3,3.05,9.8
22,21.1,3.52,8.5
23,20.1,3.35,9.0
24,18.8,3.13,9.6
25,18.8,3.13,9.6
26,18.3,3.05,9.8
27,18.8,3.13,9.6
28,20.2,3.37,8.9
29,19.8,3.3,9.1
30,20.8,3.47,8.7
31,18.3,3.05,9.8
32,21.4,3.57,8.4
33,21.9,3.65,8.2
34,21.0,3.5,8.6
35,21.0,3.5,8.6
36,21.4,3.57,8.4
37,18.4,3.07,9.8
38,19.8,3.3,9.1
39,18.3,3.05,9.8
40,21.1,3.52,8.5
