epoch,epoch_time_s,avg_batch_time_s,train_fps
1,21.7,3.62,8.3
2,17.1,2.85,10.5
3,17.3,2.88,10.4
4,19.3,3.22,9.3
5,18.4,3.07,9.8
6,18.3,3.05,9.8
7,17.0,2.83,10.6
8,18.7,3.12,9.6
9,17.0,2.83,10.6
10,17.6,2.93,10.2
11,19.5,3.25,9.2
12,18.4,3.07,9.8
13,18.2,3.03,9.9
14,18.6,3.1,9.7
15,19.0,3.17,9.5
16,18.8,3.13,9.6
17,17.2,2.87,10.5
18,16.6,2.77,10.8
19,17.4,2.9,10.3
20,17.3,2.88,10.4
21,17.1,2.85,10.5
22,19.3,3.22,9.3
23,19.1,3.18,9.4
24,17.4,2.9,10.3
25,18.5,3.08,9.7
26,17.7,2.95,10.2
27,19.2,3.2,9.4
28,17.9,2.98,10.1
29,17.3,2.88,10.4
30,17.2,2.87,10.5
31,18.2,3.03,9.9
32,17.3,2.88,10.4
33,18.3,3.05,9.8
34,19.2,3.2,9.4
35,17.7,2.95,10.2
36,17.2,2.87,10.5
37,19.5,3.25,9.2
38,18.0,3.0,10.0
39,16.8,2.8,10.7
40,16.6,2.77,10.8
