epoch,epoch_time_s,avg_batch_time_s,train_fps
1,94.5,2.266,21.5
2,23.8,0.76,72
3,24.0,0.759,78.5
4,25.0,0.647,83.4
5,23.0,0.617,87.8
6,23.4,0.617,92.0
7,24.1,0.626,87.2
8,22.9,0.615,89.9
9,23.9,0.642,88.1
10,24.5,0.64,84.0
11,24.6,0.593,95.2
12,24.9,0.571,97
13,23.3,0.57,97
14,24.5,0.584,93.5
15,23.6,0.58,94.5
16,22.5,0.592,91.9
17,24.4,0.599,90.7
18,24.0,0.62,87.8
19,24.6,0.628,95.0
20,23.5,0.631,92.8
21,24.1,0.72,80.1
22,22.3,0.76,75.8
23,24.6,0.76,72
24,25.6,0.714,78.5
25,22.9,0.713,76.3
26,23.8,0.721,78.0
27,23.0,0.747,76.7
28,25.0,0.76,74.6
29,25.6,0.757,75.7
30,23.6,0.716,82.9
31,24.5,0.739,76.6
32,24.0,0.686,79.4
33,23.3,0.69,81.2
34,23.8,0.708,80.8
35,23.0,0.685,82.9
36,22.2,0.718,76.6
37,24.0,0.64,87.0
38,24.6,0.622,88.1
39,23.9,0.599,91.6
40,23.7,0.614,88.9
41,23.0,0.638,85.5
42,25.8,0.633,87.0
43,23.6,0.629,86.4
44,24.6,0.631,91.8
45,23.4,0.614,85.5
46,23.3,0.624,86.7
47,23.1,0.635,88.2
48,24.8,0.633,82.3
49,25.6,0.621,87.9
50,23.9,0.672,84.0
