epoch,train_loss,lr
1,0.033081,6e-05
2,0.030934,9e-05
3,0.030711,0.00012
4,0.028662,0.00015
5,0.030309,0.00015
6,0.028577,0.0001498173
7,0.029725,0.0001492701
8,0.028449,0.0001483611
9,0.029199,0.0001470946
10,0.030057,0.0001454769
11,0.027675,0.0001435159
12,0.028286,0.0001412211
13,0.029028,0.0001386036
14,0.0282,0.0001356763
15,0.027842,0.0001324533
16,0.027772,0.0001289505
17,0.028874,0.0001251848
18,0.027979,0.0001211746
19,0.027395,0.0001169395
20,0.029202,0.0001125
21,0.027733,0.0001078778
22,0.027259,0.0001030955
23,0.027335,9.817627e-05
24,0.026554,9.314414e-05
25,0.027032,8.802361e-05
26,0.026835,8.283963e-05
27,0.026425,7.761746e-05
28,0.026077,7.238254e-05
29,0.027106,6.716037e-05
30,0.026742,6.197639e-05
31,0.025945,5.685586e-05
32,0.025204,5.182373e-05
33,0.026679,4.690451e-05
34,0.026122,4.212216e-05
35,0.025727,3.75e-05
36,0.02507,3.306053e-05
37,0.024722,2.882539e-05
38,0.026143,2.48152e-05
39,0.026224,2.104951e-05
40,0.024893,1.754667e-05
41,0.026393,1.432373e-05
42,0.025746,1.139639e-05
43,0.026006,8.778931e-06
44,0.025074,6.484091e-06
45,0.026036,4.523053e-06
46,0.024701,2.905373e-06
47,0.025175,1.63893e-06
48,0.025783,7.298948e-07
49,0.025227,1.826962e-07
50,0.026206,0.0
